BFP,GP,class
0.126193,0.11612841540591755,0.0
0.194881,0.3775936589250641,0.0
0.134494,0.24201418873742767,0.0
0.843279,0.8981392258566029,1.0
0.57788,0.6995140184565305,1.0
0.156816,0.30529750853678866,1.0
0.287919,0.2255283595350164,0.0
0.654486,0.6578036177851099,0.0
0.350124,0.8312859933822488,0.0
0.394925,0.042648738132344696,1.0
0.973659,0.9992927487534747,1.0
0.294735,0.1591859518847942,1.0
0.178071,0.3472337176577279,0.0
0.207887,0.4492853459147157,0.0
0.14207,0.29161482877834943,0.0
0.124538,0.22488196761580168,1.0
0.491418,0.9025676079136006,1.0
0.947968,0.9466935114084943,1.0
0.112386,0.042455586507183424,0.0
0.158001,0.1351287830502218,0.0
0.274758,0.083918129785314,0.0
0.182769,0.07327270541536092,1.0
0.425871,0.20571449375367998,1.0
0.124164,0.03143408159462318,0.0
0.091885,0.12892755916505863,0.0
0.228724,0.3964084292594348,0.0
0.999983,0.9937866802164486,1.0
0.663398,0.8370459206277622,1.0
0.319624,0.514707216979278,0.0
0.264992,0.4311227080911117,0.0
0.996894,0.9431322064287262,1.0
0.986976,0.9193545586842559,1.0
0.097612,0.23377533241981477,0.0
0.101507,0.331029764987137,0.0
0.874618,0.6897106771855485,1.0
0.136995,0.2663462206411237,1.0
0.151428,0.2846020302377178,0.0
0.158511,0.39169650888791346,0.0
0.388978,0.43958840720638126,1.0
0.255071,0.3329939762723655,1.0
0.200777,0.3676831009822747,0.0
0.129736,0.12305001891332515,0.0
0.479752,0.6862085944014532,1.0
0.472564,0.6988299497775772,1.0
0.139951,0.37270440521981746,0.0
0.123102,0.8569109031859605,0.0
0.904263,0.9975826938877513,1.0
0.997998,0.9751557073548845,1.0
