BFP,GP,class
0.135294,0.9991375615487877,0.0
0.216917,1.0,0.0
0.293927,0.2030815870817742,0.0
0.220087,0.10379931884985646,1.0
0.408582,0.4470890972227417,1.0
0.293321,0.3888051563960677,1.0
0.146087,0.38293406883900266,0.0
0.467381,0.4665687168051812,0.0
0.16205,0.3718312524678136,0.0
0.286281,0.47526190611737473,1.0
0.651064,0.46236451090727376,1.0
0.701318,0.5203011404592222,1.0
0.189496,0.3996314859070633,0.0
0.432141,0.4938427280496691,0.0
0.252981,0.4287495809887107,0.0
0.755347,0.6056615929987536,1.0
0.541616,0.529445590554901,1.0
0.999153,3.203674439315436e-05,1.0
0.166549,0.2700844679310067,0.0
0.570542,0.9120302384435184,0.0
0.124891,0.23949538134759665,0.0
0.694002,0.8117372882153142,1.0
0.635256,0.469575181504604,1.0
0.95376,0.833766790299673,1.0
0.112921,0.0005785816895197756,0.0
0.142077,0.001757418732044416,0.0
0.436373,0.5442087300031528,0.0
0.113577,0.0005947625524854841,1.0
0.200234,0.010001228313807927,1.0
0.336077,0.486369554886557,0.0
0.318837,0.31097627329639166,0.0
0.688028,0.6891865465938725,1.0
0.997984,0.9720818381440456,1.0
0.24775,0.34157044907473966,0.0
0.186096,0.12651392364036745,0.0
0.311964,0.19237912027186818,1.0
0.893065,0.6834092502492611,1.0
0.508518,0.6856796592885379,0.0
0.92414,0.9596782441518494,0.0
0.755175,0.5078868047640172,1.0
0.942118,0.6279974318748196,1.0
0.271339,0.3523674441486357,0.0
0.205386,0.28958596099976086,0.0
0.595868,0.6176524841276563,1.0
0.119294,0.19648851548200477,1.0
0.192336,0.0871356077063238,0.0
0.358692,0.00030028143075151075,0.0
0.6737,0.7196005821421491,1.0
0.646172,0.7604700092109946,1.0
