,SensLevel0,SensLevel1,AUC,AucCI_lo,AucCI_hi,SE,OpSen,SenCI_lo,SenCI_hi,OpSpe,SpeCI_lo,SpeCI_hi
SVM,0.3333333333333333,0.7916666666666666,0.8383333333333334,0.7236939868501162,0.9529726798165505,0.0584905372687854,0.7916666666666666,0.6291862547418464,0.9541470785914868,0.8,0.6432,0.9568000000000001
KNN,0.041666666666666664,0.5833333333333334,0.735,0.5938113261408425,0.8761886738591574,0.07203636136828821,0.7083333333333334,0.5264835912281995,0.8901830754384672,0.6799999999999999,0.49714134857765135,0.8628586514223485
ADAB,0.4583333333333333,0.625,0.7999999999999998,0.6739919455264766,0.9260080544735231,0.06429100507328639,0.875,0.7426848774075062,1.007315122592494,0.6799999999999999,0.49714134857765135,0.8628586514223485
RF,0.5833333333333334,0.625,0.8383333333333334,0.7236939868501162,0.9529726798165505,0.0584905372687854,0.875,0.7426848774075062,1.007315122592494,0.6799999999999999,0.49714134857765135,0.8628586514223485
LGB,0.20833333333333334,0.40625,0.7725,0.6394932598891951,0.9055067401108048,0.06786182866621272,0.8333333333333334,0.6842310815680381,0.9824355850986286,0.72,0.5439924365261537,0.8960075634738462
XGB,0.6666666666666666,0.9166666666666666,0.8783333333333332,0.7779861491305968,0.9786805175360695,0.0511984837447331,0.9166666666666666,0.8060894772702327,1.0272438560631005,0.8,0.6432,0.9568000000000001
DT,0.18229166666666663,0.6875,0.7166666666666667,0.5720038367920861,0.8613294965412472,0.0738089225188128,0.7916666666666666,0.6291862547418464,0.9541470785914868,0.72,0.5439924365261537,0.8960075634738462
LOGR,0.625,0.75,0.855,0.7459770357836667,0.9640229642163333,0.05562498345698823,0.75,0.5767588386092959,0.9232411613907041,0.84,0.6962904262061849,0.9837095737938151
