BFP,GP,class
0.135294,0.37718298828337415,0.0
0.216917,0.14912009767627454,0.0
0.293927,0.36923217179460005,0.0
0.220087,0.5203872836116934,1.0
0.408582,0.43156948093249503,1.0
0.293321,0.4210363312293424,1.0
0.146087,0.2262515398379885,0.0
0.467381,0.4966506341234003,0.0
0.16205,0.22015416081983893,0.0
0.286281,0.4501632489456891,1.0
0.651064,0.5513123528237744,1.0
0.701318,0.5234490179780594,1.0
0.189496,0.2689702511850201,0.0
0.432141,0.4731081719570441,0.0
0.252981,0.35193709525433753,0.0
0.755347,0.6159962754934255,1.0
0.541616,0.3809934912184871,1.0
0.999153,0.9930611649451051,1.0
0.166549,0.3030427214888187,0.0
0.570542,0.5411621869805465,0.0
0.124891,0.18792578384914854,0.0
0.694002,0.6299095302743221,1.0
0.635256,0.4753149371357227,1.0
0.95376,0.8049437263397586,1.0
0.112921,0.13957647383948346,0.0
0.142077,0.23598442133314032,0.0
0.436373,0.46431293382359345,0.0
0.113577,0.14999961927365268,1.0
0.200234,0.3268636714828281,1.0
0.336077,0.3401443527956987,0.0
0.318837,0.40864232941698275,0.0
0.688028,0.5636559990580017,1.0
0.997984,0.9768112871309854,1.0
0.24775,0.44003491990060023,0.0
0.186096,0.3315942031510114,0.0
0.311964,0.4511340429148333,1.0
0.893065,0.7792818921179966,1.0
0.508518,0.5005128483271508,0.0
0.92414,0.7018009056780554,0.0
0.755175,0.5581924817806216,1.0
0.942118,0.7472464883002413,1.0
0.271339,0.42638907280750277,0.0
0.205386,0.42325441545603215,0.0
0.595868,0.6904971811676252,1.0
0.119294,0.2773302224346929,1.0
0.192336,0.38786484719468506,0.0
0.358692,0.5214320225734659,0.0
0.6737,0.5010419217564388,1.0
0.646172,0.47671623426710863,1.0
