BFP,GP,class
0.126193,0.421987097384681,0.0
0.194881,0.11946370560084899,0.0
0.134494,0.04039407971148586,0.0
0.843279,0.95331006291487,1.0
0.57788,0.8566965455788431,1.0
0.156816,0.1708673902932553,1.0
0.287919,0.7582802096004297,0.0
0.654486,0.8869530923041302,0.0
0.350124,0.7819660936447718,0.0
0.394925,0.6206362930401966,1.0
0.973659,0.9819627958259125,1.0
0.294735,0.31169465319482204,1.0
0.178071,0.025258582099551913,0.0
0.207887,0.4517687460498379,0.0
0.14207,0.25290245010094614,0.0
0.124538,0.5009158381181888,1.0
0.491418,0.35657952214582916,1.0
0.947968,0.633242880633889,1.0
0.112386,0.05030072129478942,0.0
0.158001,0.45847679498500415,0.0
0.274758,0.21509293583753017,0.0
0.182769,0.2352291414852372,1.0
0.425871,0.48178751874214576,1.0
0.124164,0.18577704695915792,0.0
0.091885,0.17287468621299198,0.0
0.228724,0.29813238408093395,0.0
0.999983,0.8685364554577444,1.0
0.663398,0.6766997731223652,1.0
0.319624,0.6620396060049891,0.0
0.264992,0.27615095053925864,0.0
0.996894,0.8155408487392365,1.0
0.986976,0.8563256029016897,1.0
0.097612,0.1927169252481652,0.0
0.101507,0.22642957867751273,0.0
0.874618,0.17636584780736173,1.0
0.136995,0.1680170368531591,1.0
0.151428,0.46608942755753696,0.0
0.158511,0.646773733413884,0.0
0.388978,0.5321214863329355,1.0
0.255071,0.4514059444341481,1.0
0.200777,0.2895310905830686,0.0
0.129736,0.2322838844991699,0.0
0.479752,0.4611834224498155,1.0
0.472564,0.45709939703488245,1.0
0.139951,0.44443345714269805,0.0
0.123102,0.4450448326223331,0.0
0.904263,0.9323678173331538,1.0
0.997998,0.727158443729263,1.0
