BFP,SVM,KNN,ADAB,RF,LGB,XGB,DT,LOGR,class
0.135294,0.22224091396266443,0.16874868246063596,2.220446049250318e-16,0.25085474788636153,0.2969416283048615,0.029624848,0.047619047619047616,0.1093534228310235,0.0
0.216917,0.33498401276719025,0.25406995064541305,0.9999999999999998,0.26745874154222393,0.35178085461974784,0.3252347,1.0,0.7398485052192578,0.0
0.293927,0.4221373636014277,0.5366741179058521,2.220446049250318e-16,0.2501020785475208,0.2969416283048615,0.09873874,0.047619047619047616,0.05492138216323157,0.0
0.220087,0.3532984497183396,0.34065465261676087,2.220446049250318e-16,0.4473978516598575,0.38692424871289804,0.9250116,1.0,0.7947276235292504,1.0
0.408582,0.5861665639308222,0.7714348937040311,0.9999999999999998,0.4565981120086649,0.6051313671162244,0.63128793,0.047619047619047616,0.4011297442226067,1.0
0.293321,0.388360338496597,0.16925277801844088,0.9999999999999998,0.4041248722026675,0.38692424871289804,0.96233106,1.0,0.7843684134686587,1.0
0.146087,0.1287287337580318,0.2089508879082314,0.28614626486262595,0.12434782608695652,0.3168612378638064,0.0031361787,0.0,0.07409851307094571,0.0
0.467381,0.4207312177675818,0.3966307397386488,0.5207490360189184,0.1811111111111111,0.34014593122695574,0.31946543,0.0,0.4866184090442341,0.0
0.16205,0.12607072579984688,0.2800107542742468,0.2993937776888926,0.2024430641821946,0.3168612378638064,0.08324538,0.0,0.06442118164475134,0.0
0.286281,0.6606480219452477,0.24866307201643337,0.31424203841333676,0.1310144927536232,0.3168612378638064,0.06378321,0.0,0.8215364318961277,1.0
0.651064,0.3503014184002446,0.6738235083745839,0.4913748863165317,0.5396825396825397,0.4846990734871707,0.6889468,0.0,0.33709477015873124,1.0
0.701318,0.5510926873499606,0.7844820928458404,0.5935034026877888,0.8018037518037519,0.4846990734871707,0.9348597,0.8636363636363636,0.5868125291650551,1.0
0.189496,0.04928811323040866,0.0763800435097516,0.00454418415287101,0.03492063492063492,0.3150531854314135,0.0040345197,0.0,5.398422952724818e-06,0.0
0.432141,0.5873887546871346,0.6706539322103773,0.850727880554523,0.6,0.6681724744529296,0.14029999,1.0,0.23664403916083215,0.0
0.252981,0.08328756103670094,0.3003541163220589,0.0017336793437551094,0.10158730158730159,0.3150531854314135,0.042387284,0.0,0.03923785992522715,0.0
0.755347,0.7285815290117177,0.7529933245154689,0.9954087533507,0.8,0.6681724744529296,0.93300503,1.0,0.8652210499205207,1.0
0.541616,0.6457654213904935,0.6951419779880426,0.7170189259510072,0.6015873015873016,0.6681724744529296,0.8073689,0.0,0.1548841843519812,1.0
0.999153,0.5,0.81064346967831,0.9882288671012694,0.6833333333333333,0.6681724744529296,0.9719681,1.0,0.99999999946518,1.0
0.166549,0.046933318430900886,0.19007440051228638,0.003072039237184731,0.03518518518518519,0.3835878555307084,0.058111276,0.0625,0.0025381728334638023,0.0
0.570542,0.5418068982597782,0.8459178324272459,0.986617894565804,0.6666666666666666,0.6844568411925733,0.98507327,0.9,0.4353790887229269,0.0
0.124891,0.0003314471918798142,0.21313526451255696,0.0014479853774240238,0.016666666666666666,0.28531068148333605,0.0031273882,0.0625,1.9370061434530073e-08,0.0
0.694002,0.8606509865219684,0.7927405789057798,0.9846492467910088,0.8333333333333334,0.6844568411925733,0.5499626,0.9,0.9562507926185945,1.0
0.635256,0.632505947812458,0.6600918382338208,0.9491500051223701,0.7555555555555556,0.6844568411925733,0.96623504,0.9,0.7611698593672572,1.0
0.95376,0.9526276923637119,0.7645849623102867,0.9909113150494032,0.8666666666666667,0.3835878555307084,0.8655225,0.75,0.9797341567604588,1.0
0.112921,0.34681241198048907,0.15496249500744028,1.0179161113027625e-09,0.033252455267138714,0.29556861612490165,0.027007483,0.0,0.005082049078532695,0.0
0.142077,0.1585620433179603,0.18968021972416305,7.084547878291706e-07,0.23345125701005812,0.29556861612490165,0.031132635,0.0,0.07240472860440601,0.0
0.436373,0.7752641864098287,0.5685292479222918,0.15065201895321437,0.5478101247849533,0.6922908643677669,0.68077654,0.5,0.9729788712706172,0.0
0.113577,0.8426059074378257,0.3095951666794199,0.9205405882128234,0.36966017052715583,0.35649690612170204,0.7355463,0.5,0.1215055426194403,1.0
0.200234,0.399660293073593,0.34081300856505914,0.6624636824624339,0.4193071549247796,0.35649690612170204,0.6043124,0.5,0.8202774770085018,1.0
