BFP,GP,class
0.135294,0.188182174304752,0.0
0.216917,0.2491087499594116,0.0
0.293927,0.3618881083620336,0.0
0.220087,0.6837985616281258,1.0
0.408582,0.46294879043121595,1.0
0.293321,0.5399869990554055,1.0
0.146087,0.08063727988254053,0.0
0.467381,0.19742872260859956,0.0
0.16205,0.07071732176939884,0.0
0.286281,0.21457025027672175,1.0
0.651064,0.1895043104674133,1.0
0.701318,0.31954862217648133,1.0
0.189496,0.15555673706684744,0.0
0.432141,0.3652126957808298,0.0
0.252981,0.1180516564099206,0.0
0.755347,0.3766819962563095,1.0
0.541616,0.1608623118537066,1.0
0.999153,0.9657520228342122,1.0
0.166549,0.07188912155280436,0.0
0.570542,0.8849712817667206,0.0
0.124891,0.11034432047031609,0.0
0.694002,0.5302863763060585,1.0
0.635256,0.3449644133489813,1.0
0.95376,0.38042629630626207,1.0
0.112921,0.2061213512009035,0.0
0.142077,0.23951278468156395,0.0
0.436373,0.49415716984461966,0.0
0.113577,0.20690659565692662,1.0
0.200234,0.299015189454606,1.0
0.336077,0.15948346916734474,0.0
0.318837,0.22461200931315153,0.0
0.688028,0.3582537483326724,1.0
0.997984,0.3031188927047736,1.0
0.24775,0.17831027383538206,0.0
0.186096,0.08617858359046747,0.0
0.311964,0.30478519196376347,1.0
0.893065,0.3296594603483184,1.0
0.508518,0.9032267744944319,0.0
0.92414,0.8821379131223324,0.0
0.755175,0.6285388164511971,1.0
0.942118,0.4682597430637115,1.0
0.271339,0.2684688265750228,0.0
0.205386,0.10770227534002358,0.0
0.595868,0.5283313815149433,1.0
0.119294,0.6570794515080529,1.0
0.192336,0.058846288728394265,0.0
0.358692,0.38393639150979736,0.0
0.6737,0.30245036742495185,1.0
0.646172,0.3120717297276897,1.0
