,SensLevel0,SensLevel1,AUC,AucCI_lo,AucCI_hi,SE,OpSen,SenCI_lo,SenCI_hi,OpSpe,SpeCI_lo,SpeCI_hi
SVM,0.4782608695652174,0.782608695652174,0.8382608695652174,0.7216714695216329,0.9548502696088019,0.05948548083700866,0.7391304347826086,0.5596717819652766,0.9185890875999407,0.84,0.6962904262061849,0.9837095737938151
KNN,0.5217391304347826,0.7391304347826086,0.7843478260869565,0.6522049452704115,0.9164907069035015,0.06742107602939194,0.7391304347826086,0.5596717819652766,0.9185890875999407,0.8,0.6432,0.9568000000000001
ADAB,0.7391304347826086,0.8695652173913043,0.8869565217391304,0.788350416333139,0.9855626271451219,0.05031016191306767,0.8260869565217391,0.671179931484616,0.9809939815588623,0.84,0.6962904262061849,0.9837095737938151
RF,0.8260869565217391,0.8260869565217391,0.8478260869565217,0.7344335183370079,0.9612186555760356,0.0578544144249282,0.8260869565217391,0.671179931484616,0.9809939815588623,0.92,0.8136530658645958,1.0263469341354041
LGB,0.6413043478260869,0.782608695652174,0.8043478260869565,0.6775221842315351,0.931173467942378,0.06470814915774262,0.782608695652174,0.6140366441927293,0.9511807471116186,0.8,0.6432,0.9568000000000001
XGB,0.8695652173913043,0.9130434782608695,0.942608695652174,0.8718851466858561,1.0133322446184918,0.03608410640408507,0.9130434782608695,0.7978868441394203,1.0282001123823188,0.88,0.7526150778153081,1.0073849221846918
DT,0.6159420289855071,0.8695652173913043,0.8626086956521739,0.7544589928835961,0.9707583984207517,0.055179433714929865,0.8695652173913043,0.7319267137346951,1.0072037210479137,0.88,0.7526150778153081,1.0073849221846918
LOGR,0.7391304347826086,0.9130434782608695,0.9026086956521739,0.8108449177214149,0.994372473582933,0.04681911435851883,0.9130434782608695,0.7978868441394203,1.0282001123823188,0.76,0.5925834130081491,0.9274165869918509
