BFP,GP,class
0.126193,0.23822624457070068,0.0
0.194881,0.3037083589579447,0.0
0.134494,0.24689642220176808,0.0
0.843279,0.8645008816833635,1.0
0.57788,0.5711642717448056,1.0
0.156816,0.2690447695912286,1.0
0.287919,0.21695427404545523,0.0
0.654486,0.9361898321955066,0.0
0.350124,0.8661699642325484,0.0
0.394925,0.048585029287100706,1.0
0.973659,0.9517967230863738,1.0
0.294735,0.5986581028898428,1.0
0.178071,0.02531114932188017,0.0
0.207887,0.545441988696866,0.0
0.14207,0.19871228492369664,0.0
0.124538,0.30079606167875317,1.0
0.491418,0.11718714383658375,1.0
0.947968,0.6435890521574027,1.0
0.112386,0.2894136980761424,0.0
0.158001,0.34121250910931716,0.0
0.274758,0.4430709162643596,0.0
0.182769,0.3657032699931498,1.0
0.425871,0.5453123884997972,1.0
0.124164,0.17617105337750294,0.0
0.091885,0.16380162346910226,0.0
0.228724,0.28474853287682156,0.0
0.999983,0.9273943055446979,1.0
0.663398,0.6623592816420003,1.0
0.319624,0.3839895328900214,0.0
0.264992,0.47523346098304986,0.0
0.996894,0.9975086447896999,1.0
0.986976,0.9700053264653931,1.0
0.097612,0.18551419293274762,0.0
0.101507,0.18963123054027042,0.0
0.874618,0.7523146636030649,1.0
0.136995,0.2242703904269238,1.0
0.151428,0.33559373497466216,0.0
0.158511,0.3430775090288488,0.0
0.388978,0.5254273677979922,1.0
0.255071,0.430242763147795,1.0
0.200777,0.2659387601870228,0.0
0.129736,0.2046913742872655,0.0
0.479752,0.4592550281498006,1.0
0.472564,0.45456970769356525,1.0
0.139951,0.498639397430213,0.0
0.123102,0.05695277176225952,0.0
0.904263,0.9979820417463829,1.0
0.997998,0.4638683075643019,1.0
