,SensLevel0,SensLevel1,AUC,AucCI_lo,AucCI_hi,SE,OpSen,SenCI_lo,SenCI_hi,OpSpe,SpeCI_lo,SpeCI_hi
SVM,0.21739130434782608,0.782608695652174,0.7721739130434782,0.6370315604077869,0.9073162656791695,0.06895144691518665,0.782608695652174,0.6140366441927293,0.9511807471116186,0.76,0.5925834130081491,0.9274165869918509
KNN,0.6521739130434783,0.782608695652174,0.8217391304347826,0.6999592587994581,0.9435190020701072,0.06213372929089954,0.782608695652174,0.6140366441927293,0.9511807471116186,0.76,0.5925834130081491,0.9274165869918509
ADAB,0.6521739130434783,0.8695652173913043,0.814782608695652,0.6909350775350828,0.9386301398562212,0.06318867700501779,0.8260869565217391,0.671179931484616,0.9809939815588623,0.84,0.6962904262061849,0.9837095737938151
RF,0.782608695652174,0.8695652173913043,0.8869565217391304,0.788350416333139,0.9855626271451219,0.05031016191306767,0.8260869565217391,0.671179931484616,0.9809939815588623,0.88,0.7526150778153081,1.0073849221846918
LGB,0.23913043478260868,0.6956521739130435,0.7408695652173914,0.5987787256715954,0.8829604047631875,0.07249665844198691,0.6956521739130435,0.5076021778504267,0.8837021699756602,0.84,0.6962904262061849,0.9837095737938151
XGB,0.7391304347826086,0.8695652173913043,0.9147826086956522,0.8288056555073039,1.0007595618840006,0.04386659850207634,0.8695652173913043,0.7319267137346951,1.0072037210479137,0.84,0.6962904262061849,0.9837095737938151
DT,0.21739130434782603,0.5434782608695652,0.7504347826086957,0.6103544377962936,0.8905151274210977,0.07147087697393316,0.8260869565217391,0.671179931484616,0.9809939815588623,0.72,0.5439924365261537,0.8960075634738462
LOGR,0.7391304347826086,0.8260869565217391,0.8695652173913043,0.7640198630243862,0.9751105717582225,0.053850660113882884,0.7391304347826086,0.5596717819652766,0.9185890875999407,0.92,0.8136530658645958,1.0263469341354041
