BFP,SVM,KNN,ADAB,RF,LGB,XGB,DT,LOGR,class
0.126193,0.07579583199464424,0.06607786476542492,0.3805648615087299,0.2966711650922177,0.47270949056662437,0.21447176,1.0,0.07074349554182535,0.0
0.194881,0.5700942638286004,0.3901683875284086,0.39386623117843006,0.34517543859649125,0.47336543853113466,0.07247646,0.16,0.29722442640470875,0.0
0.134494,0.2521930282548845,0.16654224203533943,0.300644202821824,0.13125,0.27379292513407427,0.013132742,0.16,0.16656808485939387,0.0
0.843279,0.7243997653272203,0.669965009172018,0.45822008581864526,0.44667116509221766,0.6812567439428876,0.58089584,1.0,0.9648188201027608,1.0
0.57788,0.6708769994364633,0.6336021764179642,0.5056140244066959,0.9428860028860029,0.6812567439428876,0.9122529,0.16,0.6257014285170694,1.0
0.156816,0.3919881536220168,0.46688999481040877,0.6370758578019547,0.6884217171717172,0.27379292513407427,0.85777515,0.8,0.22760014085882674,1.0
0.287919,0.05963094825529552,0.3103708528696569,0.5953405051397821,0.31698414789719137,0.6890510443365297,0.5153196,1.0,0.47752490823230803,0.0
0.654486,0.9534538189793554,0.8170392152038973,0.7275829066639654,0.752989417989418,0.7243475786344418,0.63626516,1.0,0.49267466959314815,0.0
0.350124,0.9645982845969988,1.0,0.8723983930114877,0.8133540372670808,0.7243475786344418,0.91712487,1.0,0.4886145310539994,0.0
0.394925,0.0670887279041865,0.15999791955158899,0.6270689639331662,0.41328044419348764,0.6890510443365297,0.5153196,1.0,0.47160968921950336,1.0
0.973659,0.6939940198357936,1.0,0.8683585433913715,0.846687370600414,0.7243475786344418,0.91712487,1.0,0.5158269985431462,1.0
0.294735,0.0353368471041844,0.20740147165200007,0.7056138256741514,0.26353176694481045,0.2613330274341959,0.1647083,0.05,0.45962987535532196,1.0
0.178071,0.7818574547424733,0.3630727452309998,0.3685941060912905,0.418203796181605,0.47442628978113927,0.6356209,1.0,0.5112589675020013,0.0
0.207887,0.1610402920862156,0.5648797022857949,0.4630815900092957,0.3903926195838151,0.30322350583314633,0.03081441,0.0,0.31020183945405894,0.0
0.14207,0.15142160751074935,0.17124067102263957,0.3048343875735221,0.13784950229182508,0.30322350583314633,0.04254673,0.0,0.24799228479628455,0.0
0.124538,0.555617421512504,0.34612616209297653,0.5047037354141392,0.34525838789092805,0.30322350583314633,0.91376215,1.0,0.18040057200760945,1.0
0.491418,0.7864096531312084,0.7635064200028373,0.6870565143625704,0.8362449616025132,0.4738409174934674,0.9621541,1.0,0.9979687731194574,1.0
0.947968,0.7242183030063843,0.8793422151967606,0.6325832872243448,0.9191245860038768,0.6513272437125045,0.9004427,1.0,0.9941775647108837,1.0
0.112386,0.1668180918149369,0.2199576987661636,0.0007057120625159792,0.06135802398558153,0.2904975530811736,0.051802564,0.047619047619047616,0.09284997911781326,0.0
0.158001,0.38313680246894166,0.28812253089999823,0.03784684135357082,0.0556172832448408,0.2904975530811736,0.05024398,0.047619047619047616,0.2712872754966048,0.0
0.274758,0.3132596711393561,0.1989333024495793,0.002530786920657129,0.1933234591495461,0.5826554156084411,0.051802564,0.047619047619047616,0.3844421161479262,0.0
0.182769,0.22267192902616315,0.25991061723198866,0.2757393832208568,0.09565696578452333,0.2904975530811736,0.090102434,0.047619047619047616,0.16551126201928693,1.0
0.425871,0.3804213715275111,0.40301231105045776,0.9949145788482883,0.593277087646653,0.3822704848569055,0.9306073,0.75,0.343221968344495,1.0
0.124164,0.07989984882117274,0.17143324930114204,0.255817236507543,0.04,0.3067969812787904,0.024569448,0.0625,0.059424770654629554,0.0
0.091885,0.0018820233587856317,0.2592032196221958,0.27958227861337226,0.1,0.3067969812787904,0.016533555,0.0625,0.00023645210079353875,0.0
0.228724,0.16388352533391204,0.43563636001769723,0.5620963912292842,0.3,0.3067969812787904,0.41637108,0.8260869565217391,0.23264219977495806,0.0
0.999983,0.9880071036563238,0.8738723269264418,0.6984350956020366,1.0,0.6631241701571404,0.93241584,0.8260869565217391,0.991744006110981,1.0
0.663398,0.9537792119533542,0.6999498409082896,0.676543492896403,1.0,0.6631241701571404,0.9225125,0.8260869565217391,0.9475306236284841,1.0
0.319624,0.8576076077936996,0.47701540212145843,0.4318328744264831,0.435,0.3310662261503894,0.4805629,0.08695652173913043,0.6401361980418553,0.0
