,SensLevel0,SensLevel1,AUC,AucCI_lo,AucCI_hi,SE,OpSen,SenCI_lo,SenCI_hi,OpSpe,SpeCI_lo,SpeCI_hi
SVM,0.6521739130434783,0.8260869565217391,0.8591304347826085,0.7497124241054913,0.9685484454597257,0.055826541477390655,0.8260869565217391,0.671179931484616,0.9809939815588623,0.84,0.6962904262061849,0.9837095737938151
KNN,0.4782608695652174,0.6521739130434783,0.76,0.6220280683584314,0.8979719316415686,0.07039513620141676,0.6521739130434783,0.4575236744675626,0.846824151619394,0.84,0.6962904262061849,0.9837095737938151
ADAB,0.6956521739130435,0.8695652173913043,0.8869565217391304,0.788350416333139,0.9855626271451219,0.05031016191306767,0.8260869565217391,0.671179931484616,0.9809939815588623,0.88,0.7526150778153081,1.0073849221846918
RF,0.6086956521739131,0.9130434782608695,0.8817391304347826,0.7809831518816146,0.9824951089879506,0.05140705612343811,0.8695652173913043,0.7319267137346951,1.0072037210479137,0.8,0.6432,0.9568000000000001
LGB,0.6521739130434783,0.8260869565217391,0.8391304347826087,0.7228256357694403,0.9554352337957772,0.05934027356143573,0.8260869565217391,0.671179931484616,0.9809939815588623,0.76,0.5925834130081491,0.9274165869918509
XGB,0.782608695652174,0.9565217391304348,0.9321739130434783,0.8553396676786885,1.009008158408268,0.03920186593776644,0.9130434782608695,0.7978868441394203,1.0282001123823188,0.84,0.6962904262061849,0.9837095737938151
DT,0.1304347826086956,0.6086956521739131,0.662608695652174,0.5074687144330393,0.8177486768713086,0.07915450612504053,0.6956521739130435,0.5076021778504267,0.8837021699756602,0.6799999999999999,0.49714134857765135,0.8628586514223485
LOGR,0.6086956521739131,0.8260869565217391,0.8486956521739131,0.7356010808297054,0.9617902235181207,0.057702372204940074,0.8260869565217391,0.671179931484616,0.9809939815588623,0.84,0.6962904262061849,0.9837095737938151
