,SensLevel0,SensLevel1,AUC,AucCI_lo,AucCI_hi,SE,OpSen,SenCI_lo,SenCI_hi,OpSpe,SpeCI_lo,SpeCI_hi
SVM,0.34782608695652173,0.8260869565217391,0.8313043478260869,0.7124800135063107,0.950128682145863,0.06062577438006376,0.8260869565217391,0.671179931484616,0.9809939815588623,0.8,0.6432,0.9568000000000001
KNN,0.5652173913043478,0.782608695652174,0.8200000000000001,0.6976968826395951,0.9423031173604051,0.06240069630111386,0.7391304347826086,0.5596717819652766,0.9185890875999407,0.88,0.7526150778153081,1.0073849221846918
ADAB,0.43478260869565216,0.8260869565217391,0.8226086956521739,0.7010920511722707,0.944125340132077,0.061999427253975524,0.8260869565217391,0.671179931484616,0.9809939815588623,0.8,0.6432,0.9568000000000001
RF,0.6086956521739131,0.8695652173913043,0.8565217391304347,0.7461668113203704,0.966876666940499,0.05630456920664351,0.8260869565217391,0.671179931484616,0.9809939815588623,0.8,0.6432,0.9568000000000001
LGB,0.5217391304347826,0.8260869565217391,0.8043478260869565,0.6775221842315351,0.931173467942378,0.06470814915774262,0.782608695652174,0.6140366441927293,0.9511807471116186,0.8,0.6432,0.9568000000000001
XGB,0.6956521739130435,0.8260869565217391,0.9008695652173913,0.8083142631069908,0.9934248673277917,0.04722296064645308,0.782608695652174,0.6140366441927293,0.9511807471116186,0.88,0.7526150778153081,1.0073849221846918
DT,0.28260869565217384,0.6467391304347825,0.7504347826086957,0.6103544377962936,0.8905151274210977,0.07147087697393316,0.7391304347826086,0.5596717819652766,0.9185890875999407,0.6799999999999999,0.49714134857765135,0.8628586514223485
LOGR,0.6086956521739131,0.782608695652174,0.8434782608695652,0.7286143577798453,0.9583421639592852,0.05860510907126443,0.782608695652174,0.6140366441927293,0.9511807471116186,0.88,0.7526150778153081,1.0073849221846918
