SVM,KNN,ADAB,RF,LGB,XGB,DT,LOGR
"{'SVM__C': 7, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 2, 'ADAB__n_estimators': 200}","{'RF__max_depth': 3, 'RF__n_estimators': 200}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10}","{'XGB__max_depth': 1, 'XGB__n_estimators': 30}","{'DT__criterion': 'gini', 'DT__max_depth': 2, 'DT__splitter': 'random'}","{'LOGR__C': 0.1, 'LOGR__penalty': 'l2'}"
"{'SVM__C': 50, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 60}","{'RF__max_depth': 2, 'RF__n_estimators': 30}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10}","{'XGB__max_depth': 1, 'XGB__n_estimators': 30}","{'DT__criterion': 'entropy', 'DT__max_depth': 4, 'DT__splitter': 'random'}","{'LOGR__C': 10, 'LOGR__penalty': 'l2'}"
"{'SVM__C': 10, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 11, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 10}","{'RF__max_depth': 3, 'RF__n_estimators': 30}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10}","{'XGB__max_depth': 1, 'XGB__n_estimators': 30}","{'DT__criterion': 'entropy', 'DT__max_depth': 3, 'DT__splitter': 'random'}","{'LOGR__C': 1, 'LOGR__penalty': 'l2'}"
"{'SVM__C': 400, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 2, 'ADAB__n_estimators': 400}","{'RF__max_depth': 3, 'RF__n_estimators': 60}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10}","{'XGB__max_depth': 2, 'XGB__n_estimators': 10}","{'DT__criterion': 'gini', 'DT__max_depth': 2, 'DT__splitter': 'random'}","{'LOGR__C': 0.1, 'LOGR__penalty': 'l2'}"
"{'SVM__C': 2, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 100}","{'RF__max_depth': 5, 'RF__n_estimators': 10}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10}","{'XGB__max_depth': 1, 'XGB__n_estimators': 100}","{'DT__criterion': 'gini', 'DT__max_depth': 3, 'DT__splitter': 'best'}","{'LOGR__C': 0.1, 'LOGR__penalty': 'l2'}"
"{'SVM__C': 2, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 11, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 30}","{'RF__max_depth': 2, 'RF__n_estimators': 30}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10}","{'XGB__max_depth': 1, 'XGB__n_estimators': 60}","{'DT__criterion': 'gini', 'DT__max_depth': 2, 'DT__splitter': 'random'}","{'LOGR__C': 0.1, 'LOGR__penalty': 'l2'}"
"{'SVM__C': 400, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 60}","{'RF__max_depth': 10, 'RF__n_estimators': 400}","{'LGB__max_depth': 1, 'LGB__n_estimators': 60}","{'XGB__max_depth': 1, 'XGB__n_estimators': 200}","{'DT__criterion': 'entropy', 'DT__max_depth': 3, 'DT__splitter': 'best'}","{'LOGR__C': 1, 'LOGR__penalty': 'l2'}"
"{'SVM__C': 200, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 11, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 200}","{'RF__max_depth': 1, 'RF__n_estimators': 10}","{'LGB__max_depth': 1, 'LGB__n_estimators': 400}","{'XGB__max_depth': 2, 'XGB__n_estimators': 60}","{'DT__criterion': 'gini', 'DT__max_depth': 2, 'DT__splitter': 'random'}","{'LOGR__C': 1, 'LOGR__penalty': 'l2'}"
"{'SVM__C': 400, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 11, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 400}","{'RF__max_depth': 4, 'RF__n_estimators': 10}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10}","{'XGB__max_depth': 2, 'XGB__n_estimators': 60}","{'DT__criterion': 'gini', 'DT__max_depth': 3, 'DT__splitter': 'random'}","{'LOGR__C': 3, 'LOGR__penalty': 'l2'}"
"{'SVM__C': 50, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf'}","{'KNN__n_neighbors': 11, 'KNN__weights': 'distance'}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 400}","{'RF__max_depth': 3, 'RF__n_estimators': 30}","{'LGB__max_depth': 1, 'LGB__n_estimators': 100}","{'XGB__max_depth': 1, 'XGB__n_estimators': 100}","{'DT__criterion': 'gini', 'DT__max_depth': 5, 'DT__splitter': 'best'}","{'LOGR__C': 1, 'LOGR__penalty': 'l2'}"
