,SensLevel0,SensLevel1,AUC,AucCI_lo,AucCI_hi,SE,OpSen,SenCI_lo,SenCI_hi,OpSpe,SpeCI_lo,SpeCI_hi
SVM,0.4583333333333333,0.7916666666666666,0.8466666666666667,0.7347796092269424,0.958553724106391,0.057086282361449,0.875,0.7426848774075062,1.007315122592494,0.72,0.5439924365261537,0.8960075634738462
KNN,0.5416666666666666,0.625,0.7758333333333334,0.6436278350045441,0.9080388316621226,0.06745302432677813,0.5833333333333334,0.3860895942879771,0.7805770723786896,0.88,0.7526150778153081,1.0073849221846918
ADAB,0.4583333333333333,0.7083333333333334,0.8383333333333334,0.7236939868501162,0.9529726798165505,0.0584905372687854,0.875,0.7426848774075062,1.007315122592494,0.72,0.5439924365261537,0.8960075634738462
RF,0.5833333333333334,0.7083333333333334,0.8533333333333334,0.743728297635005,0.9629383690316617,0.055921964159994224,0.8333333333333334,0.6842310815680381,0.9824355850986286,0.72,0.5439924365261537,0.8960075634738462
LGB,0.25,0.5,0.7341666666666666,0.5928128333984088,0.8755204999349244,0.07212062792134892,0.7916666666666666,0.6291862547418464,0.9541470785914868,0.6,0.4079600041657988,0.7920399958342011
XGB,0.625,0.875,0.8833333333333333,0.7849844213164185,0.9816822453502481,0.05017893838492869,0.8333333333333334,0.6842310815680381,0.9824355850986286,0.88,0.7526150778153081,1.0073849221846918
DT,0.6458333333333333,0.796875,0.7975000000000001,0.6708181439444205,0.9241818560555797,0.06463478770774866,0.7916666666666666,0.6291862547418464,0.9541470785914868,0.76,0.5925834130081491,0.9274165869918509
LOGR,0.625,0.9166666666666666,0.8783333333333334,0.7779861491305972,0.9786805175360697,0.051198483744733056,0.9166666666666666,0.8060894772702327,1.0272438560631005,0.76,0.5925834130081491,0.9274165869918509
