,SensLevel0,SensLevel1,AUC,AucCI_lo,AucCI_hi,SE,OpSen,SenCI_lo,SenCI_hi,OpSpe,SpeCI_lo,SpeCI_hi
SVM,0.2916666666666667,0.7916666666666666,0.7949999999999999,0.6676520801739263,0.9223479198260736,0.06497462240662472,0.7916666666666666,0.6291862547418464,0.9541470785914868,0.8,0.6432,0.9568000000000001
KNN,0.125,0.625,0.7291666666666667,0.5868365078084218,0.8714968255249117,0.0726187623757003,0.75,0.5767588386092959,0.9232411613907041,0.72,0.5439924365261537,0.8960075634738462
ADAB,0.375,0.875,0.8183333333333334,0.69751124038985,0.9391554262768167,0.06164505771356646,0.875,0.7426848774075062,1.007315122592494,0.76,0.5925834130081491,0.9274165869918509
RF,0.20833333333333334,0.875,0.8316666666666667,0.7149020398333893,0.948431293499944,0.059574883903123654,0.875,0.7426848774075062,1.007315122592494,0.76,0.5925834130081491,0.9274165869918509
LGB,0.20833333333333334,0.4583333333333333,0.7633333333333333,0.6281872783011103,0.8984793883655563,0.06895333592771999,0.875,0.7426848774075062,1.007315122592494,0.6799999999999999,0.49714134857765135,0.8628586514223485
XGB,0.5416666666666666,0.875,0.8483333333333334,0.7370099489286461,0.9596567177380206,0.056798688793667555,0.875,0.7426848774075062,1.007315122592494,0.8,0.6432,0.9568000000000001
DT,0.13888888888888884,0.6822916666666666,0.7108333333333334,0.5651338640362649,0.856532802630402,0.07433782990214484,0.7916666666666666,0.6291862547418464,0.9541470785914868,0.6799999999999999,0.49714134857765135,0.8628586514223485
LOGR,0.2916666666666667,0.7083333333333334,0.8133333333333332,0.691053119711433,0.9356135469552335,0.062389010505514854,0.9166666666666666,0.8060894772702327,1.0272438560631005,0.72,0.5439924365261537,0.8960075634738462
